,company_name,company_rating,other_data
410,Tata Communications,4.1,"Telecom , 5k-10k Employees , Public , 38 years old , Hyderabad / Secunderabad +86 more"
412,Rane Engine Valve Limited,4.0,"Auto Components , 1k-5k Employees , Public , 65 years old , Hyderabad / Secunderabad +14 more"
413,Karvy Financial Services,3.7,"Financial Services , 51-200 Employees , Conglomerate , 43 years old , Hyderabad / Secunderabad +42 more"
414,Ivrcl Infrastructures & Projects,4.3,"Engineering & Construction , 1k-5k Employees , Public , 37 years old , Hyderabad / Secunderabad +51 more"
415,Hindustan Aeronautics,4.4,"Defence & Aerospace , 10k-50k Employees , Fortune India 500 , 84 years old , Hyderabad / Secunderabad +46 more"
416,Agility E Services,3.6,"IT Services & Consulting , 51-200 Employees , Public , 17 years old , Hyderabad / Secunderabad"
417,Bharat Electronics,4.2,"Electronics Manufacturing , 5k-10k Employees , Fortune India 500 , 70 years old , Hyderabad / Secunderabad +54 more"
419,AT&T,4.2,"Telecom , 5k-10k Employees , Forbes Global 2000 , 41 years old , Hyderabad / Secunderabad +16 more"
420,AT&T,4.2,"Telecom , 5k-10k Employees , Forbes Global 2000 , 41 years old , Hyderabad / Secunderabad +16 more"
430,Shoppers Stop,4.1,"Retail , 5k-10k Employees , Public , 33 years old , Hyderabad / Secunderabad +66 more"
432,Clarivate,3.9,"Analytics & KPO , 1k-5k Employees , Public , 8 years old , Hyderabad / Secunderabad +12 more"
434,Medtronic,4.1,"Medical Equipment , 1k-5k Employees , Forbes Global 2000 , 45 years old , Hyderabad / Secunderabad +37 more"
436,Gayatri Projects,4.0,"Engineering & Construction , 1k-5k Employees , Public , 61 years old , Hyderabad / Secunderabad +63 more"
441,CallHealth,3.7,"Healthcare , 51-200 Employees , Startup , 11 years old , Hyderabad / Secunderabad +12 more"
442,LG Electronics,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old , Hyderabad / Secunderabad +246 more"
448,Jubilant Foods Works,3.9,"Hospitality , 10k-50k Employees , Public , 29 years old , Hyderabad / Secunderabad +198 more"
451,Lenskart,3.3,"Internet , 5k-10k Employees , Indian Unicorn , 14 years old , Hyderabad / Secunderabad +171 more"
452,Skill Lync,3.1,"EdTech , 1k-5k Employees , Startup , 9 years old , Hyderabad / Secunderabad +13 more"
453,CMS IT Services,3.2,"IT Services & Consulting , 5k-10k Employees , Startup , 10 years old , Hyderabad / Secunderabad +135 more"
