,company_name,company_rating,other_data
393,Brilworks,4.6,"Software Product , 51-200 Employees , Startup , 5 years old , Ahmedabad"
395,Blue Star,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 81 years old , Ahmedabad +133 more"
414,Exide Industries,3.6,"Auto Components , 5k-10k Employees , Public , 77 years old , Ahmedabad +186 more"
415,Rushil Decor,4.2,"Building Material , 501-1k Employees , Public , 30 years old , Ahmedabad +23 more"
421,Secure Meters,4.1,"Electronics Manufacturing , 1k-5k Employees , Public , 37 years old , Ahmedabad +68 more"
423,Thomson Reuters,4.2,"Software Product , 5k-10k Employees , Forbes Global 2000 , 16 years old , Ahmedabad +24 more"
427,Yudiz Solutions,3.7,"Software Product , 201-500 Employees , Public , 13 years old , Ahmedabad +2 more"
431,5Paisa Capital Limited,4.0,"Financial Services , 501-1k Employees , Public , 9 years old , Ahmedabad +9 more"
432,Lumax Industries,4.0,"Auto Components , 1k-5k Employees , Public , 79 years old , Ahmedabad +32 more"
440,Meghmani Industries,3.7,"Agro Chemicals , 1-10 Employees , Public , 38 years old , Ahmedabad +15 more"
442,Courtyard by Marriott,4.2,"Hospitality , 1k-5k Employees , Public , 97 years old , Ahmedabad +35 more"
445,Cipla,4.1,"Pharma , 10k-50k Employees , Public , 89 years old , Ahmedabad +239 more"
456,PVR Cinemas,4.1,"Media & Entertainment , 1k-5k Employees , Public , 27 years old , Ahmedabad +107 more"
458,Trent,4.1,"Retail , 10k-50k Employees , Public , 26 years old , Ahmedabad +110 more"
460,L&T Finance,4.0,"NBFC , 10k-50k Employees , Public , 30 years old , Ahmedabad +474 more"
462,Abbott,4.2,"Pharma , 10k-50k Employees , Public , 136 years old , Ahmedabad +169 more"
478,Kotak Mahindara Life Insurance,3.9,"Insurance , 10k-50k Employees , Public , 23 years old , Ahmedabad +212 more"
480,Spinny,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Ahmedabad +43 more"
481,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Ahmedabad +181 more"
491,Ambuja Cements,4.0,"Building Material , 5k-10k Employees , Public , 41 years old , Ahmedabad +197 more"
494,Atul Auto,3.9,"Automobile , 501-1k Employees , Public , 38 years old , Ahmedabad +29 more"
498,Kotak Mahindra Prime,4.0,"NBFC , 5k-10k Employees , Public , 28 years old , Ahmedabad +124 more"
502,SYSTRA,4.1,"Engineering & Construction , 501-1k Employees , Public , 67 years old , Ahmedabad +37 more"
503,Jubilant Foods Works,3.9,"Hospitality , 10k-50k Employees , Public , 29 years old , Ahmedabad +198 more"
505,USHA International,4.2,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 90 years old , Ahmedabad +111 more"
511,Tata AutoComp Systems,3.9,"Auto Components , 1k-5k Employees , Public , 29 years old , Ahmedabad +33 more"
512,Bodal Chemicals,3.8,"Chemicals / Agri Inputs , 201-500 Employees , Public , 38 years old , Ahmedabad +17 more"
519,Sintex-bapl,3.8,"Petrochemicals , 501-1k Employees , Public , 17 years old , Ahmedabad +52 more"
521,Sintex-bapl,3.8,"Petrochemicals , 501-1k Employees , Public , 17 years old , Ahmedabad +52 more"
525,XpressBees,3.8,"Logistics , 5k-10k Employees , Indian Unicorn , 9 years old , Ahmedabad +238 more"
526,CBRE,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Ahmedabad +75 more"
527,Berger Paints,3.8,"Chemicals , 1k-5k Employees , Public , 101 years old , Ahmedabad +261 more"
530,Landmark Group,4.1,"Retail , 1k-5k Employees , Conglomerate , 51 years old , Ahmedabad +139 more"
538,Stovec Industries,3.5,"Industrial Machinery , 51-200 Employees , Public , 51 years old , Ahmedabad +1 more"
540,Suzuki,4.1,"Automobile , 10k-50k Employees , Forbes Global 2000 , 10 years old , Ahmedabad +49 more"
541,Hester Biosciences,4.2,"Biotechnology , 201-500 Employees , Public , 41 years old , Ahmedabad +12 more"
546,Gujarat Gas,4.1,"Oil & Gas , 1k-5k Employees , Public , 44 years old , Ahmedabad +38 more"
547,Team Lease,4.0,"Recruitment , 1k-5k Employees , Public , 8 years old , Ahmedabad +311 more"
549,Riddhi Corporate Services,3.9,"IT Services & Consulting , 11-50 Employees , Public , 14 years old , Ahmedabad +32 more"
557,Gujarat Heavy Chemicals,4.0,"Chemicals , 1k-5k Employees , Public , 41 years old , Ahmedabad +22 more"
560,Crowne Plaza,4.1,"Hospitality , 501-1k Employees , Public , 41 years old , Ahmedabad +28 more"
562,Domino's Pizza,4.0,"Hospitality , 1k-5k Employees , Public , 64 years old , Ahmedabad +217 more"
563,Poonawalla Fincorp,3.9,"NBFC , 1k-5k Employees , Public , 36 years old , Ahmedabad +246 more"
569,Inox Wind,3.7,"Power , 501-1k Employees , Public , 15 years old , Ahmedabad +36 more"
570,JK Cement,4.2,"Building Material , 1k-5k Employees , Public , 49 years old , Ahmedabad +244 more"
572,Spicejet,3.5,"Aviation , 5k-10k Employees , Public , 20 years old , Ahmedabad +57 more"
573,IDBI Bank,3.7,"Banking , 10k-50k Employees , Public , 60 years old , Ahmedabad +267 more"
574,Godfrey Phillips India,4.1,"FMCG , 501-1k Employees , Public , 91 years old , Ahmedabad +83 more"
578,Titan Company,4.4,"Retail , 5k-10k Employees , Public , 40 years old , Ahmedabad +143 more"
582,Godfrey Phillips India,4.1,"FMCG , 501-1k Employees , Public , 91 years old , Ahmedabad +83 more"
584,IDBI Bank,3.7,"Banking , 10k-50k Employees , Public , 60 years old , Ahmedabad +267 more"
587,Inox Wind,3.7,"Power , 501-1k Employees , Public , 15 years old , Ahmedabad +36 more"
592,Titan Company,4.4,"Retail , 5k-10k Employees , Public , 40 years old , Ahmedabad +143 more"
593,Wipro Infotech,4.0,"IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC , 79 years old , Ahmedabad +118 more"
598,RBL Bank,3.8,"Banking , 10k-50k Employees , Public , 81 years old , Ahmedabad +226 more"
603,Airan Consultant,4.1,"IT Services & Consulting , 51-200 Employees , Public , 29 years old , Ahmedabad +17 more"
606,Kalpataru Power Transmission,4.2,"Engineering & Construction , 1k-5k Employees , Public , 43 years old , Ahmedabad +208 more"
615,R for Rabbit Baby Products,4.5,"Internet , 11-50 Employees , Startup , 10 years old , Ahmedabad +4 more"
622,CenturyPly,4.0,"Furniture & Furnishing , 1k-5k Employees , Public , 38 years old , Ahmedabad +99 more"
624,Varun Beverages,4.1,"Beverage , 5k-10k Employees , Public , 29 years old , Ahmedabad +286 more"
632,Dangee Dums,3.6,"FMCG , 51-200 Employees , Public , 13 years old , Ahmedabad +2 more"
635,Fiem Industries,3.8,"Auto Components , 501-1k Employees , Public , 35 years old , Ahmedabad +22 more"
646,Aavas Financiers,4.0,"Financial Services , 5k-10k Employees , Public , 13 years old , Ahmedabad +235 more"
649,JK Lakshmi Cement,3.9,"Building Material , 1k-5k Employees , Public , 42 years old , Ahmedabad +112 more"
650,Lenskart,3.3,"Internet , 5k-10k Employees , Indian Unicorn , 14 years old , Ahmedabad +171 more"
655,Ashok Leyland,4.1,"Automobile , 5k-10k Employees , Public , 76 years old , Ahmedabad +216 more"
658,Somany Ceramics,4.3,"Building Material , 1k-5k Employees , Public , 56 years old , Ahmedabad +65 more"
660,Electronica Finance,4.2,"NBFC , 1k-5k Employees , Public , 34 years old , Ahmedabad +104 more"
674,Ice Make Refrigeration,4.2,"Electrical Equipment , 501-1k Employees , Public , 31 years old , Ahmedabad +8 more"
676,Bank of America,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 26 years old , Ahmedabad +28 more"
678,ElasticRun,3.4,"Logistics , 1k-5k Employees , Indian Unicorn , 8 years old , Ahmedabad +348 more"
688,SYSKA LED Lights,2.9,"Consumer Electronics & Appliances , 1k-5k Employees (Global) , Startup , 12 years old , Ahmedabad +151 more"
689,ITC Hotels,4.2,"Hospitality , 5k-10k Employees , Public , 49 years old , Ahmedabad +76 more"
694,Agrostar,4.0,"Internet , 1k-5k Employees , Startup , 11 years old , Ahmedabad +36 more"
699,Gabriel India,4.2,"Auto Components , 1k-5k Employees , Public , 63 years old , Ahmedabad +40 more"
702,Dharmaj Crop Guard,4.4,"Agro Chemicals , 501-1k Employees , Public , 9 years old , Ahmedabad +13 more"
705,Swiggy,3.9,"Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Ahmedabad +193 more"
707,Shriram Finance,4.1,"NBFC , 50k-1 Lakh Employees , Public , 45 years old , Ahmedabad +966 more"
708,Toyota Tsusho,4.0,"Metals & Mining , 501-1k Employees , Public , 25 years old , Ahmedabad +22 more"
710,Capri Global Capital,3.7,"NBFC , 1k-5k Employees , Public , 27 years old , Ahmedabad +218 more"
714,Uflex,3.8,"Packaging , 5k-10k Employees , Public , 39 years old , Ahmedabad +42 more"
