,company_name,company_rating,other_data
198,Rockwell Automation,4.1,"Industrial Automation , 1k-5k Employees , Forbes Global 2000 , 121 years old , Noida +19 more"
199,Planetcast,3.8,"Media & Entertainment , 1k-5k Employees , Public , 28 years old , Noida +11 more"
201,DataTrained,4.2,"EdTech , 501-1k Employees , Startup , 12 years old , Noida +3 more"
204,Jubilant Pharmova,4.0,"Pharma , 1k-5k Employees , Public , 46 years old , Noida +52 more"
205,Classplus,3.4,"Software Product , 501-1k Employees , Startup , 9 years old , Noida +16 more"
207,Mahagun India,3.4,"Real Estate , 501-1k Employees , Conglomerate , 29 years old , Noida +6 more"
208,Thales,3.8,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 24 years old , Noida +15 more"
209,RapiPay,4.0,"FinTech , 1k-5k Employees , Startup , 6 years old , Noida +97 more"
215,SCA Health India,4.8,"BPO , 201-500 Employees , Forbes Global 2000 , 11 years old , Noida +9 more"
217,MPS Limited,4.0,"Content Development , 1k-5k Employees , Public , 54 years old , Noida +21 more"
223,Evelyn Learning Systems,3.8,"EdTech , 1k-5k Employees , Startup , 11 years old , Noida +9 more"
224,JLL,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 25 years old , Noida +70 more"
225,Sopra Banking Software,3.7,"IT Services & Consulting , 1k-5k Employees , Public , 12 years old , Noida +4 more"
228,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Noida +116 more"
229,Hinduja Global Solutions,4.0,"IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Noida +104 more"
232,Triveni Engineering & Industries,4.1,"Food Processing , 1k-5k Employees , Public , 92 years old , Noida +50 more"
235,CBRE,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Noida +75 more"
238,Religare,3.9,"Financial Services , 1k-5k Employees , Public , 40 years old , Noida +91 more"
240,Naukri,4.0,"Internet , 1k-5k Employees , Public , 28 years old , Noida +59 more"
243,Flyhomes,4.3,"Internet , 201-500 Employees , Startup , 9 years old , Noida +9 more"
246,Vodafone Idea,4.2,"Telecom , 5k-10k Employees , Public , 6 years old , Noida +637 more"
247,Quess,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Noida +542 more"
250,Lido Learning,2.3,"EdTech , 201-500 Employees , Startup , 5 years old , Noida +18 more"
254,JMC Projects,4.2,"Engineering & Construction , 1k-5k Employees , Public , 42 years old , Noida +117 more"
255,Cadence Design Systems,4.2,"IT Services & Consulting , 1k-5k Employees , Public , 36 years old , Noida +14 more"
263,Clarivate,3.9,"Analytics & KPO , 1k-5k Employees , Public , 8 years old , Noida +12 more"
269,Fortis Healthcare,4.1,"Healthcare , 1k-5k Employees , Public , 28 years old , Noida +61 more"
274,Kailash Hospital,4.1,"Healthcare , 5k-10k Employees , Public , 40 years old , Noida +23 more"
275,Hays Business Solutions,3.8,"Recruitment , 501-1k Employees , Public , 13 years old , Bangalore / Bengaluru +8 more"
278,Gujarat Fluorochemicals,4.1,"Chemicals , 1k-5k Employees , Fortune India 500 , 37 years old , Dahej +24 more"
