,company_name,company_rating,other_data
393,HDFC Ergo General Insurance,4.0,"Insurance , 10k-50k Employees , Public , 22 years old , Jaipur +236 more"
395,Future Retail,4.3,"Retail , 10k-50k Employees , Public , 37 years old , Jaipur +196 more"
397,Wipro Infotech,4.0,"IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC , 79 years old , Jaipur +118 more"
408,Lifestyle,4.4,"Retail , 10k-50k Employees , Fortune India 500 , 25 years old , Jaipur +114 more"
410,Toppr,3.4,"EdTech , 1k-5k Employees , Startup , 11 years old , Jaipur +43 more"
415,Tax2win,4.1,"Internet , 51-200 Employees , Startup , 9 years old , Jaipur +1 more"
418,Adecco Group,3.8,"Recruitment , 1k-5k Employees , Forbes Global 2000 , 25 years old , Jaipur +125 more"
425,Nippon Paint India,4.1,"Chemicals , 1k-5k Employees , Forbes Global 2000 , 143 years old , Jaipur +122 more"
426,Kotak Securities,3.7,"Financial Services , 5k-10k Employees , Conglomerate , 30 years old , Jaipur +116 more"
428,Shriram Housing Finance,4.0,"Financial Services , 501-1k Employees , Public , 14 years old , Jaipur +117 more"
429,Kansai Nerolac Paints,3.9,"Chemicals , 1k-5k Employees , Public , 104 years old , Jaipur +182 more"
430,Muthoot Fincorp,4.1,"NBFC , 10k-50k Employees , Conglomerate , 137 years old , Jaipur +548 more"
432,Shadowfax Technologies,3.7,"Logistics , 1k-5k Employees , Public , 9 years old , Jaipur +162 more"
433,Autolite (India),3.3,"Auto Components , 501-1k Employees , Public , 54 years old , Jaipur +5 more"
438,Exide Industries,3.6,"Auto Components , 5k-10k Employees , Public , 77 years old , Jaipur +186 more"
439,WholesaleBox Internet,4.2,"Fashion & Textile , 11-50 Employees , Startup , 9 years old , Jaipur +7 more"
443,V-Mart,4.2,"Retail , 5k-10k Employees , Public , 22 years old , Jaipur +241 more"
446,Toppersnotes,3.9,"Internet , 51-200 Employees , Startup , 9 years old , Jaipur"
447,Delhi Public School,3.9,"Education & Training , 1k-5k Employees , Public , 26 years old , Jaipur +234 more"
450,Safexpress,4.1,"Logistics , 1k-5k Employees , Conglomerate , 27 years old , Jaipur +141 more"
451,Aditya Birla Capital,4.0,"Financial Services , 10k-50k Employees , Public , 7 years old , Jaipur +192 more"
452,CMS IT Services,3.2,"IT Services & Consulting , 5k-10k Employees , Startup , 10 years old , Jaipur +135 more"
453,Rajasthan Electronics & Instruments,3.2,"Electronics Manufacturing , 51-200 Employees , Central , 43 years old , Jaipur +13 more"
454,ImaginXP,3.2,"Education & Training , 51-200 Employees (Global) , Startup , 11 years old , Jaipur +7 more"
455,Nuvoco Vistas,4.2,"Building Material , 1k-5k Employees , Fortune India 500 , 25 years old , Jaipur +139 more"
