,company_name,company_rating,other_data
227,Aditya Birla Fashion and Retail,4.2,"Fashion & Textile , 10k-50k Employees , Fortune India 500 , 36 years old , Indore +233 more"
230,Abbott,4.2,"Pharma , 10k-50k Employees , Public , 136 years old , Indore +169 more"
236,Capri Global Capital,3.7,"NBFC , 1k-5k Employees , Public , 27 years old , Indore +218 more"
239,Muthoot Finance,3.6,"NBFC , 10k-50k Employees , Public , 85 years old , Indore +645 more"
241,Rakuten,3.7,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 27 years old , Indore +10 more"
247,RBL Bank,3.8,"Banking , 10k-50k Employees , Public , 81 years old , Indore +226 more"
253,Syncom Formulations India,3.4,"Pharma , 201-500 Employees , Public , 18 years old , Indore +2 more"
255,XpressBees,3.8,"Logistics , 5k-10k Employees , Indian Unicorn , 9 years old , Indore +238 more"
256,Berger Paints,3.8,"Chemicals , 1k-5k Employees , Public , 101 years old , Indore +261 more"
262,Flexituff Ventures International,3.9,"Packaging , 51-200 Employees , Public , 58 years old , Indore +10 more"
263,Blue Star,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 81 years old , Indore +133 more"
265,Maral Overseas,3.6,"Fashion & Textile , 1k-5k Employees , Public , 33 years old , Indore +11 more"
267,PVR Cinemas,4.1,"Media & Entertainment , 1k-5k Employees , Public , 27 years old , Indore +107 more"
271,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Indore +269 more"
276,Torrent Pharmaceuticals,4.0,"Pharma , 10k-50k Employees , Public , 53 years old , Indore +97 more"
277,Adani Wilmar,4.2,"FMCG , 1k-5k Employees , Public , 25 years old , Indore +154 more"
283,Persistent Systems,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Indore +33 more"
284,Lotus Electronics,4.7,"Consumer Electronics & Appliances , 201-500 Employees (Global) , Public , 24 years old , Indore +9 more"
286,Indus Towers,4.0,"Telecom , 1k-5k Employees , Fortune India 500 , 17 years old , Indore +159 more"
288,Shoppers Stop,4.1,"Retail , 5k-10k Employees , Public , 33 years old , Indore +66 more"
290,LG Electronics,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old , Indore +246 more"
291,Future Group,4.3,"Retail , 10k-50k Employees , Conglomerate , 11 years old , Indore +196 more"
293,Star Health & Allied Insurance,3.9,"Insurance , 10k-50k Employees , Fortune India 500 , 18 years old , Indore +247 more"
296,Safexpress,4.1,"Logistics , 1k-5k Employees , Conglomerate , 27 years old , Indore +141 more"
297,Kriti Nutrients,4.4,"Agro Chemicals , 501-1k Employees , Public , 28 years old , Indore +5 more"
301,Safexpress,4.1,"Logistics , 1k-5k Employees , Conglomerate , 27 years old , Indore +141 more"
303,Kriti Nutrients,4.4,"Agro Chemicals , 501-1k Employees , Public , 28 years old , Indore +5 more"
305,ClassMonitor,3.5,"Internet , 51-200 Employees , Startup , 8 years old , Indore"
310,SYSKA LED Lights,2.9,"Consumer Electronics & Appliances , 1k-5k Employees (Global) , Startup , 12 years old , Indore +151 more"
311,Lifestyle,4.4,"Retail , 10k-50k Employees , Fortune India 500 , 25 years old , Indore +114 more"
313,John Deere,4.3,"Industrial Machinery , 5k-10k Employees , Fortune India 500 , 23 years old , Indore +120 more"
316,Marriott International,4.3,"Hospitality , 10k-50k Employees , Forbes Global 2000 , 97 years old , Indore +73 more"
319,Swiggy,3.9,"Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Indore +193 more"
321,Mahindra Finance,4.3,"NBFC , 10k-50k Employees , Public , 33 years old , Indore +632 more"
324,Kotak Mahindara Life Insurance,3.9,"Insurance , 10k-50k Employees , Public , 23 years old , Indore +212 more"
325,Wipro,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Indore +272 more"
326,Ericsson,4.3,"Telecom , 10k-50k Employees , Forbes Global 2000 , 148 years old , Indore +151 more"
327,Bajaj Electricals,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 86 years old , Indore +199 more"
328,Piramal Pharma,4.0,"Pharma , 1k-5k Employees , Public , 36 years old , Indore +51 more"
334,Reliance SMSL,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Indore +489 more"
335,Ajanta Pharma,4.1,"Pharma , 5k-10k Employees , Public , 51 years old , Indore +96 more"
337,Voltas,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 70 years old , Indore +174 more"
342,SK Finance Limited,4.1,"NBFC , 10k-50k Employees , Public , 30 years old , Indore +149 more"
350,DISH TV,3.6,"Broadcasting , 201-500 Employees , Public , 21 years old , Indore +134 more"
351,Tata Play,4.0,"Broadcasting , 5k-10k Employees , Public , 18 years old , Indore +190 more"
352,Kotak Securities,3.7,"Financial Services , 5k-10k Employees , Conglomerate , 30 years old , Indore +116 more"
357,Maruti Suzuki,4.2,"Automobile , 10k-50k Employees , Public , 43 years old , Indore +380 more"
362,L&T Finance,4.0,"NBFC , 10k-50k Employees , Public , 30 years old , Indore +474 more"
363,JustDial,3.6,"Internet , 10k-50k Employees , Public , 28 years old , Indore +181 more"
368,Pantaloons,4.2,"Fashion & Textile , 5k-10k Employees , Public , 27 years old , Indore +140 more"
369,ZF Steering Gear,3.8,"Auto Components , 501-1k Employees , Public , 109 years old , Indore +22 more"
372,State Bank of India,3.9,"Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Indore +491 more"
379,PharmEasy,3.7,"Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Indore +56 more"
381,PharmEasy,3.7,"Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Indore +56 more"
384,HDFC Ergo General Insurance,4.0,"Insurance , 10k-50k Employees , Public , 22 years old , Indore +236 more"
385,PNB MetLife,3.5,"Insurance , 5k-10k Employees , Conglomerate , 23 years old , Indore +326 more"
386,ElasticRun,3.4,"Logistics , 1k-5k Employees , Indian Unicorn , 8 years old , Indore +348 more"
387,Randstad,3.9,"Recruitment , 5k-10k Employees , Conglomerate , 32 years old , Indore +264 more"
389,Eagle Seeds & Biotech,4.3,"Biotechnology , 51-200 Employees , Public , 42 years old , Indore +6 more"
394,Indian Army,4.7,"Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old , Indore +326 more"
395,Ashok Leyland,4.1,"Automobile , 5k-10k Employees , Public , 76 years old , Indore +216 more"
400,Polycab Wires,4.1,"Electrical Equipment , 1k-5k Employees , Fortune India 500 , 28 years old , Indore +123 more"
401,Dhanuka Agritech,3.9,"Agro Chemicals , 1k-5k Employees , Public , 42 years old , Indore +79 more"
404,Bharat Petroleum,4.2,"Oil & Gas , 5k-10k Employees , Fortune India 500 , 72 years old , Indore +221 more"
406,ICICI Securities,3.8,"Financial Services , 1k-5k Employees , Public , 29 years old , Indore +122 more"
413,Tata Motors Finance,4.2,"NBFC , 1k-5k Employees , Conglomerate , 67 years old , Indore +223 more"
415,Tata Teleservices,4.1,"Telecom , 201-500 Employees , Public , 28 years old , Indore +142 more"
417,Exide Industries,3.6,"Auto Components , 5k-10k Employees , Public , 77 years old , Indore +186 more"
418,JMC Projects,4.2,"Engineering & Construction , 1k-5k Employees , Public , 42 years old , Indore +117 more"
419,Shriram Life Insurance,3.8,"Insurance , 1k-5k Employees , Conglomerate , 19 years old , Indore +216 more"
425,Aditya Birla Group,4.1,"Building Material , 1 Lakh+ Employees , Conglomerate , 167 years old , Indore +222 more"
430,Aditya Birla Capital,4.0,"Financial Services , 10k-50k Employees , Public , 7 years old , Indore +192 more"
432,Kansai Nerolac Paints,3.9,"Chemicals , 1k-5k Employees , Public , 104 years old , Indore +182 more"
440,Mahindra Rural Housing Finance,4.1,"NBFC , 10k-50k Employees , Public , 17 years old , Indore +415 more"
442,MAS Financial Services,3.7,"Financial Services , 1k-5k Employees , Public , 29 years old , Indore +99 more"
444,Tata Group,4.3,"IT Services & Consulting , 1 Lakh+ Employees , Conglomerate , 156 years old , Indore +154 more"
445,Wonder Cement,4.2,"Building Material , 1k-5k Employees , Fortune India 500 , 14 years old , Indore +82 more"
447,Ksolves India Limited,2.8,"IT Services & Consulting , 201-500 Employees , Public , 12 years old , Indore +5 more"
448,DCB Bank,3.9,"Banking , 5k-10k Employees , Fortune India 500 , 94 years old , Indore +305 more"
449,PNB Housing Finance,3.9,"Financial Services , 1k-5k Employees , Public , 36 years old , Indore +114 more"
472,Akzo Nobel India,4.2,"Chemicals , 1k-5k Employees , Public , 85 years old , Indore +126 more"
473,TVS Motor,4.1,"Automobile , 5k-10k Employees , Public , 45 years old , Indore +279 more"
477,Vakrangee,3.7,"BPO , 1k-5k Employees , Public , 34 years old , Indore +84 more"
480,HDFC Securities,3.7,"Financial Services , 1k-5k Employees , Public , 24 years old , Indore +158 more"
481,CenturyPly,4.0,"Furniture & Furnishing , 1k-5k Employees , Public , 38 years old , Indore +99 more"
482,Sony,4.3,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 30 years old , Indore +122 more"
486,Ondoor Concepts,4.0,"Internet , 51-200 Employees , Startup , 10 years old , Indore +4 more"
489,Ola Cabs,3.5,"Internet , 1k-5k Employees , Indian Unicorn , 14 years old , Indore +97 more"
490,Blue Dart Express,4.1,"Logistics , 10k-50k Employees , Public , 41 years old , Indore +234 more"
493,Sagar Cements,4.3,"Building Material , 1k-5k Employees , Public , 39 years old , Indore +35 more"
503,Zydus Lifesciences,4.2,"Pharma , 10k-50k Employees , Public , 72 years old , Indore +152 more"
505,Motilal Oswal Financial Services,3.8,"Financial Services , 10k-50k Employees , Public , 37 years old , Indore +128 more"
506,Trent,4.1,"Retail , 10k-50k Employees , Public , 26 years old , Indore +110 more"
509,Care Health Insurance,3.8,"Internet , 5k-10k Employees , Public , 12 years old , Indore +197 more"
510,PhonePe,4.1,"FinTech , 5k-10k Employees , Indian Unicorn , 9 years old , Indore +240 more"
520,Ivrcl Infrastructures & Projects,4.3,"Engineering & Construction , 1k-5k Employees , Public , 37 years old , Indore +51 more"
527,Medlife,3.7,"Internet , 1k-5k Employees , Startup , 10 years old , Indore +28 more"
528,Standard Chartered,3.9,"Banking , 10k-50k Employees , Fortune India 500 , 171 years old , Indore +58 more"
530,Toppr,3.4,"EdTech , 1k-5k Employees , Startup , 11 years old , Indore +43 more"
538,Nuvoco Vistas,4.2,"Building Material , 1k-5k Employees , Fortune India 500 , 25 years old , Indore +139 more"
543,Dr. Reddy's,4.2,"Pharma , 10k-50k Employees , Public , 40 years old , Indore +165 more"
544,Domino's Pizza,4.0,"Hospitality , 1k-5k Employees , Public , 64 years old , Indore +217 more"
545,Lenskart,3.3,"Internet , 5k-10k Employees , Indian Unicorn , 14 years old , Indore +171 more"
549,IIT Indore,4.4,"Education & Training , 501-1k Employees , Public , 15 years old , Indore +2 more"
560,Eveready Industries,4.0,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 90 years old , Indore +77 more"
564,Patanjali Ayurved,3.2,"FMCG , 1k-5k Employees , Fortune India 500 , 18 years old , Indore +254 more"
