,company_name,company_rating,other_data
100,CitiusTech,3.5,"IT Services & Consulting , 1k-5k Employees , Indian Unicorn , 19 years old , Mumbai +14 more"
102,Tata Motors,4.2,"Automobile , 10k-50k Employees , Public , 79 years old , Mumbai +433 more"
103,Edelweiss,3.8,"Financial Services , 1k-5k Employees , Public , 7 years old , Mumbai +108 more"
104,LTIMindtree,3.6,"IT Services & Consulting , 50k-1 Lakh Employees , Public , 27 years old , Mumbai +52 more"
106,Shoppers Stop,4.1,"Retail , 5k-10k Employees , Public , 33 years old , Mumbai +66 more"
107,Tech Mahindra Business Services,3.5,"BPO , 5k-10k Employees , Public , 21 years old , Mumbai +49 more"
109,Godrej Group,4.0,"Chemicals , 10k-50k Employees , Public , 127 years old , Mumbai +117 more"
110,GlaxoSmithKline Pharmaceuticals,4.2,"Pharma , 1k-5k Employees , Fortune India 500 , 194 years old , Mumbai +179 more"
111,Tata Power,4.0,"Power , 10k-50k Employees , Public , 109 years old , Mumbai +119 more"
112,Marsh McLennan,4.1,"Management Consulting , 5k-10k Employees , Forbes Global 2000 , 153 years old , Mumbai +19 more"
113,USV,4.1,"Pharma , 1k-5k Employees , Fortune India 500 , 63 years old , Mumbai +90 more"
114,Ceat Tyres,4.1,"Auto Components , 5k-10k Employees , Public , 66 years old , Mumbai +116 more"
115,DCB Bank,3.9,"Banking , 5k-10k Employees , Fortune India 500 , 94 years old , Mumbai +305 more"
116,Bank of America,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 26 years old , Mumbai +28 more"
117,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Mumbai +455 more"
121,Citibank,4.0,"Banking , 10k-50k Employees (Global) , Fortune India 500 , 212 years old , Mumbai +47 more"
122,Future Group,4.3,"Retail , 10k-50k Employees , Conglomerate , 11 years old , Mumbai +196 more"
123,JustDial,3.6,"Internet , 10k-50k Employees , Public , 28 years old , Mumbai +181 more"
125,Johnson & Johnson,4.2,"Pharma , 1k-5k Employees , Forbes Global 2000 , 67 years old , Mumbai +137 more"
126,L&T Finance,4.0,"NBFC , 10k-50k Employees , Public , 30 years old , Mumbai +474 more"
127,FDC,4.1,"Pharma , 5k-10k Employees , Public , 84 years old , Mumbai +97 more"
128,Alembic Pharmaceuticals,4.1,"Pharma , 10k-50k Employees , Public , 117 years old , Vadodara +155 more"
130,JMC Projects,4.2,"Engineering & Construction , 1k-5k Employees , Public , 42 years old , Rishikesh +117 more"
131,Kotak Securities,3.7,"Financial Services , 5k-10k Employees , Conglomerate , 30 years old , Mumbai +116 more"
132,Kalpataru Group,3.9,"Real Estate , 1k-5k Employees , Conglomerate , 55 years old , Mumbai +62 more"
136,Expertrons,3.8,"Education & Training , 201-500 Employees , Startup , 5 years old , Mumbai +8 more"
138,Quantiphi Analytics Solutions Private Limited,3.1,"IT Services & Consulting , 1k-5k Employees , Startup , 11 years old , Mumbai +11 more"
140,Tata Capital,4.2,"NBFC , 5k-10k Employees , Fortune India 500 , 17 years old , Mumbai +236 more"
141,uFaber,2.8,"Education & Training , 1k-5k Employees , Startup , 11 years old , Mumbai +19 more"
142,Samsung,4.1,"Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Mumbai +499 more"
146,State Bank of India,3.9,"Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Mumbai +491 more"
147,Intellect Design Arena,4.1,"FinTech , 5k-10k Employees , Public , 13 years old , Mumbai +26 more"
149,Aditya Birla Fashion and Retail,4.2,"Fashion & Textile , 10k-50k Employees , Fortune India 500 , 36 years old , Mumbai +233 more"
150,UPL,4.2,"Agro Chemicals , 5k-10k Employees , Public , 55 years old , Mumbai +158 more"
151,Mphasis,3.5,"IT Services & Consulting , 10k-50k Employees , Public , 26 years old , Mumbai +54 more"
152,Atos,3.8,"IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 27 years old , Mumbai +40 more"
154,Bharat Petroleum,4.2,"Oil & Gas , 5k-10k Employees , Fortune India 500 , 72 years old , Mumbai +221 more"
155,Wockhardt,3.9,"Pharma , 5k-10k Employees , Public , 25 years old , Mumbai +76 more"
157,ITD Cementation India,4.3,"Engineering & Construction , 1k-5k Employees , Public , 93 years old , Mumbai +66 more"
158,Pfizer,4.1,"Pharma , 1k-5k Employees , Public , 20 years old , Mumbai +113 more"
163,Quess,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Mumbai +542 more"
