,company_name,company_rating,industry,size,type,years_old,location
489,Info Edge,4.0,Internet,5k-10k Employees,Public,29,Ahmedabad
490,CNH,4.2,Automobile,1k-5k Employees,Public,11,Ahmedabad
491,Globe Capital Market,3.6,Investment Banking / Venture Capital / Private Equity,1k-5k Employees,Public,40,Ahmedabad
492,Ashoka Buildcon,4.1,Engineering & Construction,1k-5k Employees,Public,48,Ahmedabad
493,Sambhaav Media,3.6,Printing & Publishing,51-200 Employees,Public,34,Ahmedabad
494,CarDekho,3.7,Internet,1k-5k Employees,Indian Unicorn,16,Ahmedabad
495,RITES,4.0,Engineering & Construction,1k-5k Employees,Central,50,Ahmedabad
496,Swaraj Tractors,4.2,Automobile,1k-5k Employees,Conglomerate,62,Ahmedabad
497,Apple,4.3,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,48,Ahmedabad
498,Utkarsh Small Finance Bank,3.9,Banking,10k-50k Employees,Public,15,Ahmedabad
499,Nuziveedu Seeds,4.2,Agriculture,1k-5k Employees,Public,51,Ahmedabad
500,Elecon Engineering,4.2,Electrical Equipment,501-1k Employees,Public,73,Ahmedabad
501,CIEL HR,4.1,Recruitment,1k-5k Employees,Startup,9,Ahmedabad
502,Mercedes-Benz Research & Development India,4.0,IT Services & Consulting,5k-10k Employees,Public,28,Ahmedabad
503,CarDekho,3.7,Internet,1k-5k Employees,Indian Unicorn,16,Ahmedabad
504,FDC,4.1,Pharma,5k-10k Employees,Public,84,Ahmedabad
505,Kirloskar Oil Engines,4.2,Industrial Machinery,1k-5k Employees,Public,78,Ahmedabad
506,Kajima India,4.1,Engineering & Construction,51-200 Employees,Forbes Global 2000,13,Ahmedabad
507,Dhanuka Agritech,3.9,Agro Chemicals,1k-5k Employees,Public,42,Ahmedabad
508,Swaraj Tractors,4.2,Automobile,1k-5k Employees,Conglomerate,62,Ahmedabad
509,Focus Lighting and Fixtures Limited,4.5,Electronics Manufacturing,51-200 Employees,Public,19,Ahmedabad
510,RITES,4.0,Engineering & Construction,1k-5k Employees,Central,50,Ahmedabad
511,Apple,4.3,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,48,Ahmedabad
512,Nippon Life India Asset Management,4.7,Financial Services,1k-5k Employees,Public,29,Ahmedabad
513,Tata Technologies,3.8,Engineering & Construction,5k-10k Employees,Conglomerate,35,Ahmedabad
514,Tata Power,4.0,Power,10k-50k Employees,Public,109,Ahmedabad
515,Patanjali Foods,4.0,FMCG,5k-10k Employees,Public,38,Ahmedabad
516,Amara Raja Group,4.2,Auto Components,5k-10k Employees,Public,39,Ahmedabad
517,Security and Intelligence Services (India),4.1,Law Enforcement & Security,1 Lakh+ Employees,Public,39,Ahmedabad
518,Onward Technologies Inc,3.2,Software Product,1k-5k Employees,Public,33,Ahmedabad
519,Jyoti Resins And Adhesives,4.1,Chemicals / Agri Inputs,51-200 Employees,Public,31,Ahmedabad
520,Schwing Stetter,4.1,Industrial Machinery,1k-5k Employees,Fortune India 500,26,Ahmedabad
521,VLCC,3.7,Beauty & Personal Care,1k-5k Employees,Conglomerate,35,Ahmedabad
522,SK Finance Limited,4.1,NBFC,10k-50k Employees,Public,30,Ahmedabad
523,Nagarjuna Construction Company,4.2,Engineering & Construction,5k-10k Employees,Public,26,Ahmedabad
524,Smytten,3.3,Internet,51-200 Employees,Startup,9,Gurgaon
525,RR kabel,4.2,Electrical Equipment,1k-5k Employees,Public,29,Mumbai
