,company_name,company_rating,industry,size,type,years_old,location
497,Feuji,2.2,Financial Services,11-50 Employees (Global),Startup,10,Hyderabad
498,Veritas Finance,4.7,NBFC,1k-5k Employees,Startup,9,Hyderabad
499,Licious,3.8,Internet,1k-5k Employees,Indian Unicorn,9,Hyderabad
500,United Breweries,3.9,Beverage,1k-5k Employees,Public,167,Hyderabad
501,PNB MetLife,3.5,Insurance,5k-10k Employees,Conglomerate,23,Hyderabad
502,Johnson & Johnson,4.2,Pharma,1k-5k Employees,Forbes Global 2000,67,Hyderabad
503,Hewlett Packard Enterprise,4.3,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,9,Hyderabad
504,HMT Machine Tools,4.0,Industrial Machinery,51-200 Employees,Central,71,Hyderabad
505,Vertiv,4.0,IT Services & Consulting,51-200 Employees (Global),Startup,8,Hyderabad
506,IFB,3.7,Consumer Electronics & Appliances,201-500 Employees,Public,50,Hyderabad
507,Vivo,4.1,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,15,Hyderabad
508,Sharekhan,4.0,Financial Services,1k-5k Employees,Public,24,Hyderabad
509,HMT Machine Tools,4.0,Industrial Machinery,51-200 Employees,Central,71,Hyderabad
510,DAZN,3.2,Media & Entertainment,501-1k Employees,Startup,9,Pune
511,OnePlus,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,11,Pune
512,JSW Cement,4.1,Building Material,1k-5k Employees,Conglomerate,15,Hyderabad
513,Porter,4.2,Internet,1k-5k Employees,Startup,10,Hyderabad
514,Intel,4.3,Semiconductors,10k-50k Employees,Public,56,Hyderabad
515,Meesho,3.7,Internet,5k-10k Employees,Indian Unicorn,9,Hyderabad
516,Adani Wilmar,4.2,FMCG,1k-5k Employees,Public,25,Hyderabad
517,Eze Software,3.6,IT Services & Consulting,51-200 Employees,Public,29,Hyderabad
518,Whirlpool,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,113,Hyderabad
519,CRYSTAL CROP PROTECTION,3.9,Agro Chemicals,1k-5k Employees,Public,44,Hyderabad
520,AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28,Hyderabad
521,CK Birla Group,4.2,Building Material,1k-5k Employees,Conglomerate,162,Hyderabad
522,ABB Group,4.1,Electrical Equipment,1k-5k Employees,Public,36,Hyderabad
523,Nayara Energy,4.3,Petrochemicals,1k-5k Employees,Fortune India 500,35,Hyderabad
524,Marino Food Products,4.1,Food Processing,51-200 Employees,Startup,9,Hyderabad
525,HDFC Securities,3.7,Financial Services,1k-5k Employees,Public,24,Hyderabad
526,Crisil,3.7,Financial Services,1k-5k Employees,Public,37,Hyderabad
527,Exide Industries,3.6,Auto Components,5k-10k Employees,Public,77,Hyderabad
528,GTN Engineering,4.1,Metals & Mining,201-500 Employees,Public,34,Hyderabad
529,India Cements,3.8,Building Material,1k-5k Employees,Public,78,Hyderabad
530,American Express,4.2,Financial Services,10k-50k Employees,Forbes Global 2000,174,Hyderabad
531,NMDC,4.3,Metals & Mining,5k-10k Employees,Fortune India 500,66,Hyderabad
532,NRB Bearings,4.2,Auto Components,1k-5k Employees,Public,59,Hyderabad
533,Rizzle,3.3,Internet,51-200 Employees,Startup,5,Hyderabad
534,Bajaj Capital,3.9,Financial Services,1k-5k Employees,Public,60,Hyderabad
535,Yext,4.5,Software Product,51-200 Employees,Public,18,Hyderabad
536,Kotak Mahindra Prime,4.0,NBFC,5k-10k Employees,Public,28,Hyderabad
537,Marks & Spencer,4.0,Retail,1k-5k Employees,Forbes Global 2000,140,Hyderabad
538,Kotak Mahindra Prime,4.0,NBFC,5k-10k Employees,Public,28,Hyderabad
539,Thermax Limited,4.2,Industrial Machinery,1k-5k Employees,Public,58,Hyderabad
540,Akzo Nobel India,4.2,Chemicals,1k-5k Employees,Public,85,Hyderabad
541,Bosch,4.3,Auto Components,5k-10k Employees,Public,138,Hyderabad
542,Shriram Housing Finance,4.0,Financial Services,501-1k Employees,Public,14,Hyderabad
543,KSK Mahanadi Power Company,3.8,Power,1k-5k Employees,Public,23,Hyderabad
544,Vogo Automotive,4.0,Internet,51-200 Employees,Startup,8,Hyderabad
545,Bosch,4.3,Auto Components,5k-10k Employees,Public,138,Hyderabad
