,company_name,company_rating,industry,size,type,years_old,location
221,Polycab Wires,4.1,Electrical Equipment,1k-5k Employees,Fortune India 500,28,Mumbai
222,LOREAL,4.1,Beauty & Personal Care,1k-5k Employees,Forbes Global 2000,33,Mumbai
223,Jubilant Foods Works,3.9,Hospitality,10k-50k Employees,Public,29,Mumbai
224,Ambuja Cements,4.0,Building Material,5k-10k Employees,Public,41,Mumbai
225,CARS24,3.7,Internet,5k-10k Employees,Indian Unicorn,9,Mumbai
226,DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,7,Mumbai
227,Sir H. N. Reliance Foundation Hospital and Research,3.9,Healthcare,51-200 Employees,Public,99,Mumbai
228,Xanadu,3.4,Real Estate,501-1k Employees,Startup,9,Mumbai
229,Dabur,3.8,FMCG,5k-10k Employees,Public,140,Mumbai
230,Fractal Analytics,4.1,Analytics & KPO,1k-5k Employees,Indian Unicorn,24,Mumbai
231,Allied Digital Services,3.5,IT Services & Consulting,1k-5k Employees,Public,29,Mumbai
232,Microland,3.6,IT Services & Consulting,1k-5k Employees,Public,35,Mumbai
233,Reliance Infrastructure,4.1,Engineering & Construction,1k-5k Employees,Public,95,Mumbai
234,Tata Play,4.0,Broadcasting,5k-10k Employees,Public,18,Mumbai
235,Air India,4.0,Aviation,10k-50k Employees,Central,94,Mumbai
236,GAMMON INDIA,3.8,Engineering & Construction,11-50 Employees,Public,102,Mumbai
237,Procter & Gamble,4.2,FMCG,1k-5k Employees,Public,187,Mumbai
238,ITC,4.0,FMCG,10k-50k Employees,Public,114,Mumbai
239,Vakrangee,3.7,BPO,1k-5k Employees,Public,34,Mumbai
240,Pantaloons,4.2,Fashion & Textile,5k-10k Employees,Public,27,Chennai
241,Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,11,Mumbai
242,Future Retail,4.3,Retail,10k-50k Employees,Public,37,Mumbai
243,EPL Limited,4.0,Packaging,1k-5k Employees,Public,40,Mumbai
244,IRB Infrastructure,4.2,Engineering & Construction,5k-10k Employees,Public,26,Mumbai
245,Ericsson,4.3,Telecom,10k-50k Employees,Forbes Global 2000,148,Mumbai
246,Randstad,3.9,Recruitment,5k-10k Employees,Conglomerate,32,Mumbai
247,Purplle.com,3.7,Beauty & Personal Care,201-500 Employees,Indian Unicorn,13,Mumbai
248,Jana Small Finance Bank,3.9,Banking,10k-50k Employees,Public,18,Mumbai
249,Jacobs Engineering Group,4.1,Engineering & Construction,1k-5k Employees,Forbes Global 2000,77,Mumbai
250,Ola Cabs,3.5,Internet,1k-5k Employees,Indian Unicorn,14,Mumbai
251,Piramal Pharma,4.0,Pharma,1k-5k Employees,Public,36,Mumbai
252,Reliance SMSL,4.0,BPO,1k-5k Employees,Public,17,Mumbai
253,Birlasoft,3.8,IT Services & Consulting,10k-50k Employees,Public,29,Mumbai
254,PVR Cinemas,4.1,Media & Entertainment,1k-5k Employees,Public,27,Mumbai
255,MSCI,4.0,Financial Services,1k-5k Employees,Public,55,Mumbai
256,Godrej Industries,4.2,Chemicals,1k-5k Employees,Public,61,Mumbai
257,Nayara Energy,4.3,Petrochemicals,1k-5k Employees,Fortune India 500,35,Mumbai
258,Rolta India,2.7,IT Services & Consulting,501-1k Employees,Public,35,Mumbai
259,Unichem Laboratories,3.9,Pharma,1k-5k Employees,Public,80,Chennai
260,Newgen Software Technologies,3.6,IT Services & Consulting,1k-5k Employees,Public,32,Chennai
261,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,Chennai
262,Titan Company,4.4,Retail,5k-10k Employees,Public,40,Mumbai
263,ITSource Technologies,3.1,IT Services & Consulting,201-500 Employees,Public,26,Mumbai
264,Teva Pharmaceuticals,4.2,Pharma,1k-5k Employees,Forbes Global 2000,123,Mumbai
265,Indian Oil Corporation,4.4,Oil & Gas,10k-50k Employees,Fortune India 500,65,Mumbai
266,ITC Hotels,4.2,Hospitality,5k-10k Employees,Public,49,Mumbai
267,Shriram Finance,4.1,NBFC,50k-1 Lakh Employees,Public,45,Mumbai
268,Orange Business,4.3,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,32,Mumbai
269,Toppr,3.4,EdTech,1k-5k Employees,Startup,11,Mumbai
270,Turtlemint,3.6,Internet,1k-5k Employees,Startup,9,Mumbai
271,Nestle,4.1,Food Processing,5k-10k Employees,Public,65,Mumbai
272,BARC,4.4,Defence & Aerospace,10k-50k Employees,Public,79,Mumbai
273,LEAP India Private Limited,4.4,Packaging,501-1k Employees,Startup,11,Mumbai
274,Citigroup,3.7,Banking,10k-50k Employees,Forbes Global 2000,212,Mumbai
275,Domino's Pizza,4.0,Hospitality,1k-5k Employees,Public,64,Mumbai
276,Fortis Healthcare,4.1,Healthcare,1k-5k Employees,Public,28,Mumbai
277,Nuvoco Vistas,4.2,Building Material,1k-5k Employees,Fortune India 500,25,Mumbai
278,HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,159,Mumbai
279,NoBroker,3.2,Internet,1k-5k Employees,Indian Unicorn,10,Mumbai
280,Anunta Technology Management Services,3.6,IT Services & Consulting,501-1k Employees,Startup,12,Mumbai
281,Lifestyle,4.4,Retail,10k-50k Employees,Fortune India 500,25,Mumbai
282,The Saraswat Co-operative Bank,3.4,Banking,1k-5k Employees,Public,106,Mumbai
283,UBS,3.9,Investment Banking / Venture Capital / Private Equity,5k-10k Employees,Forbes Global 2000,9,Mumbai
284,Nippon Life India Asset Management,4.7,Financial Services,1k-5k Employees,Public,29,Mumbai
285,PNB MetLife,3.5,Insurance,5k-10k Employees,Conglomerate,23,Mumbai
286,Lenskart,3.3,Internet,5k-10k Employees,Indian Unicorn,14,Mumbai
287,Samsung C&T,4.1,Engineering & Construction,501-1k Employees,Forbes Global 2000,86,Mumbai
288,LivSpace,3.5,Architecture & Interior Design,1k-5k Employees,Indian Unicorn,9,Mumbai
289,State Street Corporation,3.8,Financial Services,10k-50k Employees,Forbes Global 2000,232,Mumbai
290,Consolidated Contractors,4.5,Engineering & Construction,1k-5k Employees,Public,72,Mumbai
291,Patel Engineering,4.3,Engineering & Construction,1k-5k Employees,Public,75,Mumbai
292,Imarticus Learning,4.2,EdTech,501-1k Employees,Startup,12,Mumbai
293,Sunteck Realty,3.5,Real Estate,51-200 Employees,Public,43,Mumbai
294,Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,23,Mumbai
295,Mastek,3.7,IT Services & Consulting,1k-5k Employees,Public,42,Mumbai
296,BridgeLabz Solutions,3.4,EdTech,201-500 Employees,Startup,8,Mumbai
297,Welspun,4.1,Fashion & Textile,10k-50k Employees,Fortune India 500,39,Mumbai
298,Vivo,4.1,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,15,Mumbai
299,Groupm Media,4.0,Marketing & Advertising,1k-5k Employees,Public,21,Mumbai
300,Dr. Reddy's,4.2,Pharma,10k-50k Employees,Public,40,Mumbai
301,Tata Teleservices,4.1,Telecom,201-500 Employees,Public,28,Mumbai
302,Eduvanz,3.6,FinTech,201-500 Employees,Startup,8,Mumbai
303,MT Educare,3.2,EdTech,201-500 Employees,Public,36,Mumbai
304,Saregama India,4.1,Media & Entertainment,201-500 Employees,Public,123,Mumbai
305,Shemaroo Entertainment,3.6,Media & Entertainment,501-1k Employees,Public,62,Mumbai
306,Allcargo Logistics,3.9,Logistics,501-1k Employees,Public,31,Mumbai
307,VIP Industries,4.0,Retail,1k-5k Employees,Public,53,Mumbai
308,Barclays,4.0,Banking,10k-50k Employees,Forbes Global 2000,334,Mumbai
309,American Express,4.2,Financial Services,10k-50k Employees,Forbes Global 2000,174,Mumbai
310,Tata Group,4.3,IT Services & Consulting,1 Lakh+ Employees,Conglomerate,156,Mumbai
311,Supreme Industries,4.2,Petrochemicals,5k-10k Employees,Public,82,Mumbai
312,Alok Industries,3.8,Fashion & Textile,10k-50k Employees,Public,38,Mumbai
313,Mahindra Lifespace Developers,4.1,Real Estate,201-500 Employees,Public,30,Mumbai
314,Sterlite Technologies,3.8,Hardware & Networking,1k-5k Employees,Public,36,Mumbai
315,Britannia,4.1,FMCG,1k-5k Employees,Public,132,Bangalore
316,JSW Group,4.1,Iron & Steel,10k-50k Employees,Conglomerate,42,Mumbai
317,Roche Diagnostics,3.7,Pharma,201-500 Employees,Conglomerate,128,Mumbai
318,Ninjacart,4.1,Internet,1k-5k Employees,Startup,9,Mumbai
319,Chhatrapati Shivaji International Airport,4.2,Real Estate,1k-5k Employees,Public,18,Mumbai
320,Landmark Group,4.1,Retail,1k-5k Employees,Conglomerate,51,Mumbai
321,Maersk Line,4.3,Logistics,1k-5k Employees,Public,120,Mumbai
322,LG Electronics,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,66,Mumbai
323,Apollo Hospitals,4.2,Healthcare,10k-50k Employees,Public,41,Mumbai
324,Ion Exchange India,3.9,Waste Management,1k-5k Employees,Public,60,Mumbai
325,STAR,4.2,Broadcasting,1k-5k Employees,Conglomerate,30,Mumbai
326,NTT Global Networks,4.1,IT Services & Consulting,501-1k Employees,Public,5,Mumbai
327,Bayer,4.2,Pharma,10k-50k Employees,Public,161,Mumbai
328,Continuum Managed Services,4.0,IT Services & Consulting,51-200 Employees,Conglomerate,19,Mumbai
329,Everest Industries,4.1,Building Material,1k-5k Employees,Public,90,Mumbai
330,BillDesk,3.4,FinTech,201-500 Employees (Global),Public,24,Mumbai
