,company_name,company_rating,industry,size,type,years_old,location
6651,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6652,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6653,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6654,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6655,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6656,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6657,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6658,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6659,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6660,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6661,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6662,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6663,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6664,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6665,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6666,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6667,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6668,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6669,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6670,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6671,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6672,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6673,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6674,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6675,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6676,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6677,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6678,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6679,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6680,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6681,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6682,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6683,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6684,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6685,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6686,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
