,company_name,company_rating,industry,size,type,years_old,location
410,Aditya Birla Group,4.1,Building Material,1 Lakh+ Employees,Conglomerate,167,Jaipur
411,Relyon Softech,4.0,Software Product,501-1k Employees,Public,23,Jaipur
412,Vardhman Fabrics,4.1,Fashion & Textile,10k-50k Employees,Fortune India 500,59,Jaipur
413,Prism Johnson,4.0,Building Material,1k-5k Employees,Public,32,Jaipur
414,Nowfloats Technologies,3.3,Software Product,201-500 Employees,Startup,12,Jaipur
415,Honda Cars,4.4,Automobile,5k-10k Employees,Fortune India 500,29,Jaipur
416,Uniinfo Telecom Services,4.0,Telecom,201-500 Employees,Public,14,Jaipur
417,Cummins,4.4,Industrial Machinery,1k-5k Employees,Fortune India 500,105,Jaipur
418,Udaipur Cement Works,4.1,Building Material,201-500 Employees,Public,31,Jaipur
419,Megha Engineering & Infrastructures,4.0,Engineering & Construction,5k-10k Employees,Conglomerate,35,Jaipur
420,American Tower Corporation,3.9,Telecom,501-1k Employees,Forbes Global 2000,29,Jaipur
421,CSL Finance,4.2,FMCG,51-200 Employees,Public,32,Jaipur
422,CANTABIL RETAIL INDIA,4.3,Fashion & Textile,1k-5k Employees,Public,24,Jaipur
423,Bridgestone,4.2,Auto Components,1k-5k Employees,Forbes Global 2000,28,Jaipur
424,Adani Group,4.0,Power,10k-50k Employees,Public,36,Jaipur
425,BOB Financial Solutions,4.3,NBFC,501-1k Employees,Public,30,Jaipur
426,American Tower Corporation,3.9,Telecom,501-1k Employees,Forbes Global 2000,29,Jaipur
427,Udaipur Cement Works,4.1,Building Material,201-500 Employees,Public,31,Jaipur
428,Adani Group,4.0,Power,10k-50k Employees,Public,36,Jaipur
429,Bridgestone,4.2,Auto Components,1k-5k Employees,Forbes Global 2000,28,Jaipur
430,Megha Engineering & Infrastructures,4.0,Engineering & Construction,5k-10k Employees,Conglomerate,35,Jaipur
431,Ryan International School,3.7,Education & Training,10k-50k Employees,Public,32,Jaipur
432,AB InBev India,3.5,Beverage,1k-5k Employees,Public,36,Jaipur
433,Veto Switchgears & Cables,4.2,Electrical Equipment,201-500 Employees,Public,57,Jaipur
434,Fourth Dimension Solutions,3.3,IT Services & Consulting,201-500 Employees,Public,13,Jaipur
435,IRB Infrastructure,4.2,Engineering & Construction,5k-10k Employees,Public,26,Jaipur
436,Alankit,3.3,Financial Services,1k-5k Employees,Public,33,Jaipur
437,Bajaj Consumer Care,3.9,FMCG,201-500 Employees,Public,94,Jaipur
438,PillarPlus,4.2,Building Material,11-50 Employees,Startup,4,Jaipur
439,MEDdelivery,3.0,Internet,51-200 Employees,Startup,6,Jaipur
440,MEDdelivery,3.0,Internet,51-200 Employees,Startup,6,Jaipur
441,Login2Design Technologies,4.6,IT Services & Consulting,11-50 Employees,Startup,4,Jaipur
442,Kissht Finance,4.1,FinTech,201-500 Employees,Startup,9,Jaipur
443,ManpowerGroup,3.9,Recruitment,50k-1 Lakh Employees,Forbes Global 2000,29,Jaipur
444,ITI,3.7,Hardware & Networking,1k-5k Employees,Central,76,Jaipur
445,JM Financial,3.8,Financial Services,1k-5k Employees,Public,40,Jaipur
446,Pratibha Industries,4.7,Engineering & Construction,501-1k Employees,Public,42,Jaipur
447,Wapcos,3.6,Engineering & Construction,1k-5k Employees,State,55,Jaipur
448,TTK Prestige,4.0,Consumer Electronics & Appliances,1k-5k Employees,Public,69,Jaipur
449,Imarticus Learning,4.2,EdTech,501-1k Employees,Startup,12,Jaipur
450,Ivrcl Infrastructures & Projects,4.3,Engineering & Construction,1k-5k Employees,Public,37,Jaipur
451,Hinduja Global Solutions,4.0,IT Services & Consulting,10k-50k Employees,Public,24,Jaipur
452,Religare Housing Development Finance Corporation,4.5,Financial Services,51-200 Employees,Public,31,Jaipur
453,CIEL HR,4.1,Recruitment,1k-5k Employees,Startup,9,Jaipur
454,Ofbusiness,3.1,Internet,1k-5k Employees,Indian Unicorn,9,Jaipur
455,Kirana King,4.6,Retail,51-200 Employees,Startup,10,Jaipur
456,G R Infraprojects,4.2,Engineering & Construction,10k-50k Employees,Public,29,Jaipur
457,Future Supply Chain Solutions,4.4,Logistics,1k-5k Employees,Public,18,Jaipur
458,Heritage Foods,4.1,Food Processing,1k-5k Employees,Public,32,Jaipur
459,Aviva Life Insurance India,3.6,Insurance,1k-5k Employees,Forbes Global 2000,328,Jaipur
460,Sahara India Pariwar,3.8,Broadcasting,5k-10k Employees,Conglomerate,46,Jaipur
461,IDBI Bank,3.7,Banking,10k-50k Employees,Public,60,Jaipur
462,Volkswagen,4.2,Automobile,1k-5k Employees,Forbes Global 2000,23,Jaipur
463,IIC Technologies,3.9,IT Services & Consulting,1k-5k Employees,Public,30,Jaipur
464,Pratibha Industries,4.7,Engineering & Construction,501-1k Employees,Public,42,Jaipur
465,Srei Equipment Finance,4.5,Financial Services,1k-5k Employees,Public,35,Jaipur
466,Imarticus Learning,4.2,EdTech,501-1k Employees,Startup,12,Jaipur
467,Bharat IT Services,3.2,IT Services & Consulting,501-1k Employees,Public,28,Jaipur
468,Ofbusiness,3.1,Internet,1k-5k Employees,Indian Unicorn,9,Jaipur
469,Kirana King,4.6,Retail,51-200 Employees,Startup,10,Jaipur
470,CIEL HR,4.1,Recruitment,1k-5k Employees,Startup,9,Jaipur
471,OnePlus,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,11,Jaipur
472,The Indian Hume Pipe Co.,4.1,Building Material,1k-5k Employees,Public,98,Jaipur
473,Nippon Life India Asset Management,4.7,Financial Services,1k-5k Employees,Public,29,Jaipur
474,Greenlam Industries,4.2,Building Material,1k-5k Employees,Public,11,Jaipur
475,Milkbasket,3.8,Internet,501-1k Employees,Startup,9,Jaipur
476,Dr. Agarwal's Eye Hospital,4.0,Healthcare,1k-5k Employees,Public,67,Chennai
477,Info Edge,4.0,Internet,5k-10k Employees,Public,29,Noida
478,Indostar Capital Finance,4.5,NBFC,1k-5k Employees,Public,13,Mumbai
479,PC Jewellers,4.0,Metals & Mining,1k-5k Employees,Public,19,Jaipur
480,Vedantu,3.4,EdTech,1k-5k Employees,Indian Unicorn,13,Jaipur
481,NIIT,3.7,Education & Training,1k-5k Employees,Public,43,Jaipur
482,Bikaji Foods,4.1,FMCG,1k-5k Employees,Public,37,Jaipur
483,Mahindra Powerol,3.8,Industrial Machinery,51-200 Employees,Public,23,Jaipur
484,Schoolnet India,3.8,EdTech,51-200 Employees,Public,27,Pune
485,SKIT Jaipur,4.0,Education & Training,51-200 Employees,Startup,8,Jaipur
486,Ceat Tyres,4.1,Auto Components,5k-10k Employees,Public,66,Jaipur
487,Schoolnet India,3.8,EdTech,51-200 Employees,Public,27,Jaipur
488,EM3 Agri Services,3.7,IT Services & Consulting,51-200 Employees,Startup,11,Jaipur
489,Unomer,2.4,Internet,51-200 Employees,Startup,9,Jaipur
490,National Insurance Company,4.2,Insurance,5k-10k Employees,Central,118,Jaipur
491,HBL Power Systems,4.0,Electrical Equipment,1k-5k Employees,Public,47,Jaipur
492,Religare Finvest,4.4,Financial Services,1k-5k Employees,Public,18,Jaipur
493,Emcure Pharmaceuticals,3.8,Pharma,5k-10k Employees,Fortune India 500,43,Jaipur
494,Archidply Industries,4.0,Furniture & Furnishing,501-1k Employees,Public,48,Jaipur
495,MTS,4.1,Telecom,1k-5k Employees,Conglomerate,58,Jaipur
496,Chambal Fertilisers And Chemicals,4.1,Agro Chemicals,1k-5k Employees,Public,39,Jaipur
497,Vadilal Industries,4.1,FMCG,501-1k Employees,Public,117,Jaipur
498,Khaitan Electricals,3.2,Food Processing,201-500 Employees,Public,43,Jaipur
499,VRL Logistics,4.0,Logistics,10k-50k Employees,Public,41,Jaipur
500,GVPR Engineers,4.0,Engineering & Construction,501-1k Employees,Public,27,Jaipur
501,Snapmint Credit Advisory,4.0,Financial Services,51-200 Employees,Startup,9,Jaipur
502,Capital Trust,4.0,NBFC,1k-5k Employees,Public,38,Jaipur
